MB21D1
TMEM173
TBK1
IRF3
RELA
TNF
IFNB1
CCL2
CCL11
CCL20
CXCL1
CXCL10
CXCL2
CXCL3
CXCL5
CXCL6
DEFB4A
IL1B
IL6
IL17A
LCN2
MMP1
MMP3
MMP9
MMP13
MUC5AC
C2
C4B
C4BPA
C4BPB
C5AR1
CD55
CFB
CFI
F2R
F2RL2
F3
F11
ITGAX
MASP1
