,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genus,sig_otu
OTU1870,0.162958014,1.47740178,3.649706385,0.404800174,0.685624401,0.985368139,Pseudodesulfovibrio,NA
OTU1878,0.162958014,1.47740178,3.649706385,0.404800174,0.685624401,0.985368139,Pandoravirus,NA
OTU17,0.389768932,-0.135241821,3.625951313,-0.0372983,0.970247161,0.986566774,Caulobacter,NA
OTU18,0.435434417,-0.079928081,3.146904873,-0.02539895,0.979736748,0.986566774,Hyphomicrobium,NA
OTU24,0.172090838,-0.061449549,3.649706385,-0.016836847,0.986566774,0.986566774,Gemmata,NA
OTU32,0.85100313,-0.203000695,1.764004351,-0.115079475,0.908382128,0.986566774,Leptospira,NA
OTU35,0.170037937,-0.061449549,3.649706385,-0.016836847,0.986566774,0.986566774,Azospirillum,NA
OTU44,0.137456136,-0.061449549,3.649706385,-0.016836847,0.986566774,0.986566774,Thermus,NA
OTU145,0.349753662,0.110893866,3.630689327,0.030543474,0.975633622,0.986566774,Chlorobium,NA
OTU178,0.290485354,0.434092481,3.638071532,0.119319392,0.905022321,0.986566774,Bacillus,NA
OTU229,0.572717773,-0.355594708,2.768618956,-0.128437576,0.897802696,0.986566774,Ureaplasma,NA
OTU282,0.172090838,-0.061449549,3.649706385,-0.016836847,0.986566774,0.986566774,Halomonas,NA
OTU439,0.908176373,-0.094904995,1.619190596,-0.058612615,0.953260663,0.986566774,Gloeobacter,NA
OTU485,0.172090838,-0.061449549,3.649706385,-0.016836847,0.986566774,0.986566774,Dialister,NA
OTU608,1.210448619,-0.039683892,1.423462299,-0.027878428,0.977759113,0.986566774,Tessaracoccus,NA
OTU800,0.137456136,-0.061449549,3.649706385,-0.016836847,0.986566774,0.986566774,Salinispora,NA
