,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genus,sig_otu
OTU283,0.163131061,-0.567011024,3.640548693,-0.155748782,0.876231044,0.996400209,Carnobacterium,NA
OTU389,0.149591842,-0.497280557,3.643538056,-0.136482877,0.89143956,0.996400209,Acidovorax,NA
OTU390,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Azoarcus,NA
OTU393,0.523571448,-1.8924778,2.657813879,-0.712043012,0.476438142,0.996400209,Sphingomonas,NA
OTU396,0.305953294,-1.205702489,3.618353084,-0.333218583,0.738969291,0.996400209,Rhodoferax,NA
OTU405,2.044497198,0.033338019,1.491529641,0.022351563,0.982167518,0.996400209,Geobacter,NA
OTU408,0.08156553,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Marinomonas,NA
OTU413,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Thermoanaerobacterium,NA
OTU425,0.237926982,-0.94329355,3.626427247,-0.260116496,0.794773914,0.996400209,Janthinobacterium,NA
OTU427,0.149591842,-0.497280557,3.643538056,-0.136482877,0.89143956,0.996400209,Burkholderia,NA
OTU428,0.373979606,-1.424506298,3.455339286,-0.412262351,0.680147141,0.996400209,Thiomonas,NA
OTU439,0.491893856,1.814384056,2.476312482,0.732695922,0.463743912,0.996400209,Gloeobacter,NA
OTU446,0.149591842,-0.497280557,3.643538056,-0.136482877,0.89143956,0.996400209,Acetobacterium,NA
OTU452,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Rhodovulum,NA
OTU459,1.887145379,-0.954839035,1.65026224,-0.578598366,0.562860208,0.996400209,Blattabacterium,NA
OTU462,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Nitrosospira,NA
OTU465,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Desulfitobacterium,NA
OTU510,0.264805558,-0.568957176,3.640467039,-0.156286864,0.87580691,0.996400209,Cyanothece,NA
OTU513,0.08156553,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Polynucleobacter,NA
OTU514,0.231157373,-0.91763802,3.627289946,-0.252981712,0.800282345,0.996400209,Paenibacillus,NA
OTU525,0.956787518,-0.249423215,1.641085214,-0.151986754,0.879197383,0.996400209,Oenococcus,NA
OTU526,0.305953294,-1.205702347,3.618353088,-0.333218544,0.738969321,0.996400209,Weissella,NA
OTU529,0.50273254,-1.735966754,2.458626456,-0.706071778,0.480143501,0.996400209,Devosia,NA
OTU551,0.163131061,-0.567011024,3.640548693,-0.155748782,0.876231044,0.996400209,Nakamurella,NA
OTU563,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Brevibacillus,NA
OTU576,0.312722903,-1.22619259,3.617776906,-0.33893538,0.734658411,0.996400209,Chryseobacterium,NA
OTU584,24.24042,-0.048876316,1.012919688,-0.048252904,0.961514688,0.996400209,Dehalococcoides,NA
OTU596,0.08156553,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Mesorhizobium,NA
OTU608,0.856120618,0.958760784,1.667459506,0.574982949,0.565302829,0.996400209,Tessaracoccus,NA
OTU609,0.448775527,-1.662808296,2.964529106,-0.560901322,0.574864808,0.996400209,Dechloromonas,NA
OTU622,0.498541848,-1.648337235,2.521174347,-0.653797401,0.513242341,0.996400209,Myroides,NA
OTU653,0.149591842,-0.497280557,3.643538056,-0.136482877,0.89143956,0.996400209,Pedobacter,NA
OTU659,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Bosea,NA
OTU662,77.8775711,-0.571555606,0.78437756,-0.728674092,0.466201045,0.996400209,Mogibacterium,NA
OTU684,0.074795921,0.034637872,3.649706385,0.009490591,0.992427717,0.996400209,Stanieria,NA
OTU700,0.237926982,-0.94329355,3.626427247,-0.260116496,0.794773914,0.996400209,Muricauda,NA
OTU718,0.305953294,-1.205702347,3.618353088,-0.333218544,0.738969321,0.996400209,Pectobacterium,NA
OTU722,1.189310711,1.388982216,1.576000916,0.881333381,0.378137404,0.996400209,Geobacillus,NA
